Điểm đến,Tỉnh/Thành phố,Loại thông tin,Nội dung chi tiết
Sapa,Lào Cai,Thời tiết & trang phục,"Nhiệt độ: 15–25°C (mùa hè, khô ráo nhưng UV cao), 5–15°C (mùa đông, có thể dưới 0°C khi tuyết), độ ẩm cao quanh năm. Mùa mưa: 6–8 (mưa lớn, sạt lở). Mang: áo khoác gió chống lạnh, giày leo núi chống trượt (trekking), áo mưa poncho, mũ len và khăn quàng (đông), quần dài chống vắt và côn trùng, kem chống nắng SPF50, thuốc chống côn trùng (muỗi và vắt), ba lô nhỏ đựng nước và snack cho tour dài."

Hạ Long,Quảng Ninh,Điểm đến,"Vịnh di sản UNESCO với 2.000 đảo đá vôi, hang Sửng Sốt (hang động kỳ vĩ với nhũ đá), Thiên Cung (hang động ánh sáng lấp lánh), đảo Trống Mái (hình gà trống và mái), kayak qua hang tối, tắm biển đảo Ti Tốp (view toàn vịnh), du thuyền overnight (ngủ đêm trên vịnh), đảo Tuần Châu (công viên giải trí), Sun World (cáp treo Nữ Hoàng, công viên nước), Bãi Cháy (bãi biển dài), chợ đêm (mua sắm hải sản), thủy cung (trưng bày sinh vật biển), công viên nước (trượt nước), hang Đầu Gỗ (hang gỗ cổ), đảo Cát Bà gần đó (trekking rừng quốc gia)."
Hạ Long,Quảng Ninh,Thời điểm đẹp nhất,"Tháng 4–6 & 9–11: biển xanh ngọc, nắng đẹp ấm áp 25–30°C, ít mưa, lý tưởng du thuyền và kayak. Tránh 6–8 (bão, sóng lớn, nhiều tàu dừng). Mùa đông 12–2: lạnh 15–20°C, sương mù lãng mạn nhưng ít hoạt động ngoài trời, ít tàu chạy."
Hạ Long,Quảng Ninh,Mức độ an toàn,"An ninh cao ở khu du lịch, nhưng cẩn thận trộm cắp ở bãi biển và chợ. Bão mùa hè: theo dõi VTV hoặc app bão (Windy), tránh đi nếu cảnh báo. Nước biển sạch đạt chuẩn tắm, nhưng kiểm tra thủy triều. Cấp cứu: 115 hoặc BV Bãi Cháy (10km từ trung tâm). An toàn cho trẻ em nếu chọn tour có áo phao, tránh kayak nếu không biết bơi."
Hạ Long,Quảng Ninh,Tổng chi phí (2N1Đ/1 người),"Xe limousine HN–HL: 300k-400k; Du thuyền 4* overnight (ăn 3 bữa, kayak): 2.5-3.5 triệu; Ăn thêm hải sản: 500k-700k; Vé Sun World (cáp treo + công viên): 350k-500k; Kayak riêng: 200k; Tổng ≈ 4–5 triệu (du thuyền cao cấp) → 1.8-2.5 triệu (ở Bãi Cháy, tour ngày)."
Hạ Long,Quảng Ninh,Gói tour tiết kiệm,"Combo du thuyền 2N1Đ (Paradise Luxury, La Regina Legend): 2.8–3.5 triệu (bao ăn 3 bữa, kayak, thăm hang, leo Ti Tốp). Combo 1 ngày vịnh (du thuyền + ăn trưa + hang Sửng Sốt): 750k-1 triệu. Gói budget: xe khách + ks Bãi Cháy + tự kayak: dưới 2 triệu."
Hạ Long,Quảng Ninh,Nơi ở (đề xuất 5),"1. The Light Hotel (Bãi Cháy trung tâm) – 8.1/10, gần bãi biển, wifi, 400k-500k. 2. Tâm Anh Hotel – 7.8/10, view vịnh, bữa sáng, 350k-450k. 3. Kim Dung Hotel – 7.9/10, gần chợ đêm, tiện nghi cơ bản, 300k-400k. 4. Mường Thanh Luxury – 8.5/10, hồ bơi lớn, phòng sang, 800k-1 triệu. 5. Novotel Ha Long – 8.7/10, 4 sao quốc tế, spa và hồ bơi, 1.2-1.5 triệu."
Hạ Long,Quảng Ninh,Di chuyển đến nơi,"HN → HL: limousine (3.5h, 200–300k, hãng Camel Travel). Xe khách (250k, 4h). Tàu cao tốc từ Cát Bà (1h, 150k). Sân bay Vân Đồn (cách 50km, taxi 1.2 triệu hoặc bus shuttle 300k)."
Hạ Long,Quảng Ninh,Giao thông nội bộ,"Thuê xe máy: 150k-200k/ngày (khám phá đảo). Grab: 12k/km, tiện cho nhóm. Taxi Mai Linh (đo đồng hồ). Xe điện Sun World: 50k. Đi bộ Bãi Cháy (miễn phí). Xe đạp: 80k/ngày cho bãi biển."
Hạ Long,Quảng Ninh,Ẩm thực,"Hải sản tươi: tôm hùm nướng, mực tươi xào, sá sùng (giun biển đặc sản), chả mực (chả giã tay), ghẹ rang me. Quán nổi: Cua Vàng (view biển, hải sản sống), Sen Á Đông (buffet hải sản), Hải Sản 26 (bình dân, giá rẻ), Bà Liên (cơm gà và hải sản xào). Giá 150–400k/người. An toàn cao ở quán uy tín, chọn hải sản sống để tránh ngộ độc."
Hạ Long,Quảng Ninh,Hoạt động độc đáo,"Du thuyền ngủ đêm (ngắm hoàng hôn vịnh), kayak qua hang tối (khám phá hang động), leo đảo Ti Tốp (view 360 độ), cáp treo Nữ Hoàng (view từ trên cao), Sun World (công viên nước, tàu lượn, thủy cung), chợ đêm (mua sắm và ăn vặt), thăm hang Đầu Gỗ (hang gỗ cổ kính). Trẻ em: công viên nước, bãi tắm Tuần Châu, thủy cung (xem cá heo)."
Hạ Long,Quảng Ninh,Kết nối & giấy tờ,"Wifi mạnh khắp nơi (100Mbps+ ở ks), 4G phủ sóng toàn vịnh (Viettel tốt nhất). Không visa nội địa. Bảo hiểm: 150k/2 ngày (bao kayak). Cấp cứu: 115. App: Halong Bay Cruise (book tour), Grab (di chuyển), Sun World (vé online), Windy (dự báo bão)."
Hạ Long,Quảng Ninh,Yếu tố cá nhân,"Phù hợp: gia đình (công viên và tắm biển), cặp đôi (du thuyền lãng mạn), nhóm bạn/team building (kayak và leo núi). Mục đích: nghỉ dưỡng biển, chụp ảnh hùng vĩ, khám phá hang động. Cảm xúc: lãng mạn với hoàng hôn, hùng vĩ thiên nhiên, vui vẻ với hoạt động ngoài trời, an toàn cao cho mọi lứa tuổi."
Hạ Long,Quảng Ninh,Thời tiết & trang phục,"Nhiệt độ: 20–30°C (ấm áp), độ ẩm cao. Mùa mưa: 6–8 (bão, mưa lớn). Mang: đồ bơi (tắm biển), kem chống nắng SPF50, áo khoác mỏng (tối lạnh trên thuyền), dép lê (bãi biển), mũ rộng vành, áo mưa nhỏ (mưa bất chợt), quần short và áo thoáng cho kayak."

Hà Giang,Hà Giang,Điểm đến,"Cao nguyên đá Đồng Văn (Di sản UNESCO, đá tai mèo hùng vĩ), đèo Mã Pí Lèng (đèo đẹp nhất Việt Nam, view sông Nho Quế), cột cờ Lũng Cú (cực Bắc Việt Nam), sông Nho Quế (kayak sông xanh), hoa tam giác mạch (cánh đồng tím), chợ phiên (Phó Bảng cổ kính, Đồng Văn nhộn nhịp), phượt xe máy (loop 350km), văn hóa H'Mông (làng Lũng Cẩm), Phó Cáo (làng đá), Yên Minh (rừng thông)."
Hà Giang,Hà Giang,Thời điểm đẹp nhất,"Tháng 10–12 (hoa tam giác mạch tím hồng nở rộ, thời tiết mát 15–20°C). Tháng 3–4 (hoa đào, mận trắng). Tránh 6–8 (mưa lũ, sạt lở, đường nguy hiểm)."
Hà Giang,Hà Giang,Mức độ an toàn,"An ninh tốt ở khu du lịch. Đường đèo nguy hiểm (Mã Pí Lèng dốc cao), cần xe số mạnh và kỹ năng lái tốt, tránh mưa. Không dịch bệnh, nhưng mang thuốc say xe. Cấp cứu: 115 hoặc BVĐK Hà Giang (TP). An toàn cho phượt thủ nếu đi nhóm, tránh solo ở đèo xa."
Hà Giang,Hà Giang,Tổng chi phí (4N3Đ/1 người),"Xe khách HN–HG: 600k-800k; Homestay: 600k-800k; Ăn: 600k; Xăng + thuê xe máy: 500k-700k; Vé cột cờ Lũng Cú: 25k; Vé chợ phiên: miễn phí; Tổng ≈ 2.8-3.5 triệu (phượt tự túc) → 4.5-5.5 triệu (tour hướng dẫn)."
Hà Giang,Hà Giang,Gói tour tiết kiệm,"Tour phượt 4N3Đ (xe máy + homestay + HDV địa phương): 3.5–4.5 triệu (Hagiang Loop, bao ăn nhẹ). Tour xe hơi riêng (an toàn hơn): 6-7 triệu. Gói budget: xe khách + thuê xe + tự loop: dưới 3 triệu."
Hà Giang,Hà Giang,Nơi ở (đề xuất 5),"1. Cao Nguyên Hotel (TP Hà Giang) – 8.0/10, trung tâm, 400k-500k. 2. Anh Tú Homestay – 8.2/10, giá rẻ, 350k. 3. Đồng Văn Ancient Town Homestay – 8.5/10, view cao nguyên đá, 450k-550k. 4. P'apiu Resort (Yên Minh) – 8.8/10, bungalow cao cấp, 1-1.2 triệu. 5. Homestay Lũng Cẩm – 8.3/10, nhà trình tường truyền thống, 400k."
Hà Giang,Hà Giang,Di chuyển đến nơi,"HN → HG: xe khách đêm (7h, 300k-400k, hãng Hà Giang Express). Xe máy tự lái (2 ngày, xăng 500k). Không sân bay gần, gần nhất là Nội Bài + xe."
Hà Giang,Hà Giang,Giao thông nội bộ,"Thuê xe máy: 200k-300k/ngày (xe số cho đèo). Không Grab, dùng xe chung địa phương: 50k-100k/chiều. Xe hơi tour: 500k/ngày nếu không tự lái."
Hà Giang,Hà Giang,Ẩm thực,"Thắng cố (lẩu dân tộc), phở chua (phở cay chua), cháo ấu tẩu (bổ dưỡng), bánh cuốn trứng, men mén (bánh ngô), rượu ngô. Quán: Âu Việt (lẩu cá sông Lô), Quyên (phở chua gia truyền), Ngân Hà (cháo ấu tẩu). Giá 30–100k/người."
Hà Giang,Hà Giang,Hoạt động độc đáo,"Phượt loop 3-4 ngày (350km, qua đèo và cao nguyên), ngắm Mã Pí Lèng và sông Nho Quế, leo cột cờ Lũng Cú, chợ phiên Phó Bảng/T7 Đồng Văn (mua thổ cẩm), chụp hoa tam giác mạch, thăm làng H'Mông Lũng Cẩm (nhà trình tường). Trẻ em: cưỡi ngựa, làm thổ cẩm, kayak sông nhẹ."
Hà Giang,Hà Giang,Kết nối & giấy tờ,"4G yếu ở đèo (Viettel tốt nhất), mạnh ở thị trấn. Không visa. Bảo hiểm: 200k (bao phượt). App: Hagiang Epic (tour), Maps Offline (đường đèo), Windy (thời tiết)."
Hà Giang,Hà Giang,Yếu tố cá nhân,"Phù hợp: phượt thủ, nhóm bạn (mạo hiểm), cặp đôi (view lãng mạn). Mục đích: mạo hiểm đèo, chụp ảnh hoa, văn hóa dân tộc. Cảm xúc: tự do phiêu lưu, hùng vĩ thiên nhiên, nguyên sơ văn hóa."
Hà Giang,Hà Giang,Thời tiết & trang phục,"10–25°C, lạnh đông dưới 10°C. Mưa 6–8. Mang: áo khoác gió, găng tay lái xe, giày chống trượt, mũ, quần dài, áo mưa, thuốc say xe và cảm cúm."

Ninh Bình,Ninh Bình,Điểm đến,"Hạ Long trên cạn, Tràng An (UNESCO, hang động sông nước), Tam Cốc (thuyền chèo qua hang), Hang Múa (leo 500 bậc thang view ruộng), chùa Bái Đính (chùa lớn nhất Đông Nam Á), cố đô Hoa Lư (di tích lịch sử), đạp xe làng quê (ruộng lúa), vườn chim Thung Nham (chim di cư), động Am Tiêm (hang động cổ), chùa Non Nước (thơ mộng)."
Ninh Bình,Ninh Bình,Thời điểm đẹp nhất,"Tháng 1–4 (mùa sen nở, ít khách, 20–25°C, khô ráo). Tháng 9–11 (lúa chín vàng, thời tiết mát). Tránh 5–8 (nắng nóng 35°C+, đông khách)."
Ninh Bình,Ninh Bình,Mức độ an toàn,"Rất an toàn, ít tội phạm. Nước sạch, nhưng cẩn thận trượt khi leo Hang Múa. Cấp cứu: 115 hoặc BVĐK Ninh Bình (TP). An toàn cho gia đình, trẻ em chơi thuyền."
Ninh Bình,Ninh Bình,Tổng chi phí (2N1Đ/1 người),"Xe HN–NB: 200k-300k; KS: 600k; Ăn: 300k-400k; Vé Tràng An: 250k; Hang Múa: 100k; Vé Bái Đính: 50k; Tổng ≈ 1.8-2.5 triệu."
Ninh Bình,Ninh Bình,Gói tour tiết kiệm,"Combo Tràng An – Bái Đính – Hang Múa (xe đưa đón + vé + ăn trưa): 650k-800k/người. Tour 2 ngày (bao ks): 1.5-2 triệu."
Ninh Bình,Ninh Bình,Nơi ở (đề xuất 5),"1. Tam Cốc Banana Bungalow – 8.2/10, view ruộng, 400k. 2. Bái Đính Garden Resort – 8.0/10, gần chùa, 350k. 3. Aravinda Resort – 8.3/10, sinh thái hồ bơi, 450k. 4. Ninh Binh Hidden Charm – 8.7/10, hồ bơi, 800k. 5. Emeralda Resort – 9.0/10, 5 sao cao cấp, 1.5 triệu."
Ninh Bình,Ninh Bình,Di chuyển đến nơi,"HN → NB: xe khách (2h, 100k-150k), tàu hỏa (2h, 150k-200k). Xe máy tự lái (2.5h)."
Ninh Bình,Ninh Bình,Giao thông nội bộ,"Thuê xe đạp: 50k/ngày (đạp xe quê). Xe máy: 120k-150k. Grab/taxi: sẵn có."
Ninh Bình,Ninh Bình,Ẩm thực,"Dê núi (nướng hoặc tái chanh), cơm cháy giòn, miến lươn, ốc núi. Quán: Bà Phấn (miến lươn), Thăng Long (dê núi), Ba Cửa (cơm cháy dê). Giá 50–200k."
Ninh Bình,Ninh Bình,Hoạt động độc đáo,"Thuyền Tràng An (hang động), leo Hang Múa (view 360), đạp xe làng quê, chùa Bái Đính (cầu nguyện), vườn chim Thung Nham (ngắm chim). Trẻ em: đạp xe, thuyền nhỏ, vườn chim."
Ninh Bình,Ninh Bình,Kết nối & giấy tờ,"Wifi mạnh khắp nơi. Không visa. Cấp cứu: 115. App: Ninh Binh Travel, Grab."
Ninh Bình,Ninh Bình,Yếu tố cá nhân,"Phù hợp: gia đình (hoạt động nhẹ), cặp đôi (view thơ mộng). Mục đích: văn hóa lịch sử, thư giãn thiên nhiên. Cảm xúc: bình yên, cổ kính."
Ninh Bình,Ninh Bình,Thời tiết & trang phục,"20–30°C, nóng hè. Mùa khô 1–4. Mang: mũ nón, kem chống nắng, giày thể thao leo núi, áo thoáng cho thuyền."

Mai Châu,Hòa Bình,Điểm đến,"Thung lũng xanh mướt, nhà sàn Thái trắng, ruộng bậc thang, đạp xe bản Lác (làng Thái cổ), Poom Coọng (bản làng yên bình), hang Chiều (hang động đá vôi), thác Gò Lào (tắm thác), chợ phiên Pa Co (mua sắm dân tộc)."
Mai Châu,Hòa Bình,Thời điểm đẹp nhất,"Tháng 9–11 (lúa chín vàng, 20–25°C). Tháng 3–5 (hoa ban trắng nở). Tránh 6–8 (mưa lớn)."
Mai Châu,Hòa Bình,Mức độ an toàn,"Rất an toàn, dân thân thiện. Không thiên tai lớn. Cấp cứu: 115 hoặc BVĐK Hòa Bình (60km)."
Mai Châu,Hòa Bình,Tổng chi phí (2N1Đ/1 người),"Xe HN–MC: 300k-400k; Homestay: 500k; Ăn: 300k-400k; Xe đạp: 50k; Tổng ≈ 1.5-2 triệu."
Mai Châu,Hòa Bình,Gói tour tiết kiệm,"Combo 2N1Đ (xe + homestay + tour bản + múa sạp): 1.2-1.5 triệu."
Mai Châu,Hòa Bình,Nơi ở (đề xuất 5),"1. Khoa Thanh Hotel – 8.0/10, trung tâm, 400k. 2. Mai Châu Farmstay – 8.1/10, view thung lũng, 450k. 3. Homestay bản Lác – 8.3/10, nhà sàn, 350k. 4. Mai Chau Ecolodge – 8.8/10, sinh thái, 1 triệu. 5. An Lac Ecolodge – 8.5/10, hồ bơi, 800k."
Mai Châu,Hòa Bình,Di chuyển đến nơi,"HN → MC: xe khách (4h, 150k-200k). Xe máy (4h)."
Mai Châu,Hòa Bình,Giao thông nội bộ,"Xe đạp: 50k (đạp bản). Xe máy: 120k. Đi bộ bản miễn phí."
Mai Châu,Hòa Bình,Ẩm thực,"Cơm lam (cơm nướng ống tre), thịt nướng lá chuối, xôi ngũ sắc, cá suối nướng. Quán: 3 Chị Em (dân dã), Hợp Thủy (sang trọng), Nhà sàn số 9. Giá 50–150k."
Mai Châu,Hòa Bình,Hoạt động độc đáo,"Đạp xe bản Lác, múa sạp dân tộc, ngủ nhà sàn, chợ phiên Pa Co, trekking hang Chiều, tắm thác Gò Lào. Trẻ em: cưỡi trâu, làm thổ cẩm."
Mai Châu,Hòa Bình,Kết nối & giấy tờ,"4G tốt (Viettel). Không visa. App: Mai Chau Travel."
Mai Châu,Hòa Bình,Yếu tố cá nhân,"Phù hợp: gia đình, cặp đôi (nghỉ dưỡng). Mục đích: gần gũi thiên nhiên. Cảm xúc: bình dị, thư giãn."
Mai Châu,Hòa Bình,Thời tiết & trang phục,"18–28°C. Mang: áo dài tay, giày đi bộ, áo mưa, mũ nón."

Mộc Châu,Sơn La,Điểm đến,"Đồi chè trái tim (hình trái tim xanh mướt), thác Dải Yếm (thác nước cao), mùa hoa mận/cải trắng (cánh đồng hoa), nông trại sữa (thăm bò và sữa tươi), đồi thông Bản Áng (dã ngoại), hang Dơi (hang động), vườn dâu tây (hái dâu), rừng thông Bản Áng (cắm trại)."
Mộc Châu,Sơn La,Thời điểm đẹp nhất,"Tháng 12–2 (hoa mận trắng, 10–18°C). Tháng 10–11 (cải trắng nở). Tháng 3–4 (hoa đào rực)."
Mộc Châu,Sơn La,Mức độ an toàn,"An toàn cao. Đường đèo cẩn thận. Cấp cứu: 115 hoặc BVĐK Sơn La (100km)."
Mộc Châu,Sơn La,Tổng chi phí (2N1Đ/1 người),"Xe HN–MC: 400k-500k; KS: 600k; Ăn: 400k; Vé đồi chè: 20k-50k; Tổng ≈ 1.8-2.5 triệu."
Mộc Châu,Sơn La,Gói tour tiết kiệm,"Combo 2N1Đ (xe + ks + tour đồi chè + hái dâu): 1.5-2 triệu."
Mộc Châu,Sơn La,Nơi ở (đề xuất 5),"1. Hoa Ban Hotel – 7.9/10, gần bến xe, 350k. 2. Suối Tiên – 8.0/10, sạch sẽ, 300k. 3. Sao Xanh – 8.1/10, view đồi chè, 400k. 4. Mộc Châu Arena Village – 8.7/10, bungalow, 800k. 5. Thảo Nguyên Resort – 8.5/10, hồ bơi, 700k."
Mộc Châu,Sơn La,Di chuyển đến nơi,"HN → MC: xe khách (5h, 200k-300k). Xe máy (5h)."
Mộc Châu,Sơn La,Giao thông nội bộ,"Xe máy: 150k-200k. Taxi địa phương."
Mộc Châu,Sơn La,Ẩm thực,"Bê chao (bê xào lăn), cá hồi nướng, sữa tươi nguyên chất, dâu tây tươi. Quán: Đông Hải (bê sữa), Cá Hồi 64 (cá hồi), Xuân Bắc 181. Giá 150–300k."
Mộc Châu,Sơn La,Hoạt động độc đáo,"Chụp đồi chè trái tim, cưỡi ngựa đồi thông, hái dâu tây, thăm nông trại sữa và bò, trekking hang Dơi, cắm trại rừng thông Bản Áng. Trẻ em: hái dâu, cưỡi ngựa, thăm nông trại."
Mộc Châu,Sơn La,Kết nối & giấy tờ,"4G tốt. Không visa. App: Moc Chau Tourism."
Mộc Châu,Sơn La,Yếu tố cá nhân,"Phù hợp: cặp đôi (ảnh lãng mạn), gia đình. Mục đích: thiên nhiên, nghỉ dưỡng. Cảm xúc: trong lành, thơ mộng."
Mộc Châu,Sơn La,Thời tiết & trang phục,"10–20°C, lạnh đông. Mang: áo ấm dày, khăn quàng, giày thể thao, mũ nón."

Cao Bằng,Cao Bằng,Điểm đến,"Thác Bản Giốc (thác biên giới VN-TQ, cao 60m rộng 300m), động Ngườm Ngao (hang động nhũ đá lấp lánh), Pác Bó (di tích lịch sử, hang Cốc Bó), suối Lê-nin (suối xanh trong), cao nguyên đá (cảnh quan đá vôi), hang Cốc Mạc (hang động), làng rèn Phúc Sen (làng nghề truyền thống)."
Cao Bằng,Cao Bằng,Thời điểm đẹp nhất,"Tháng 8–11 (nước thác dồi dào, 20–28°C). Tháng 3–4 (hoa đào nở)."
Cao Bằng,Cao Bằng,Mức độ an toàn,"An toàn, dân thân thiện. Đường xa đèo dốc cẩn thận. Cấp cứu: 115 hoặc BVĐK Cao Bằng."
Cao Bằng,Cao Bằng,Tổng chi phí (3N2Đ/1 người),"Xe HN–CB: 700k-800k; KS: 700k; Ăn: 500k; Vé thác Bản Giốc: 50k; Tổng ≈ 2.5-3 triệu."
Cao Bằng,Cao Bằng,Gói tour tiết kiệm,"Tour 3N2Đ (xe + ks + HDV + thác + Pác Bó): 3-3.5 triệu."
Cao Bằng,Cao Bằng,Nơi ở (đề xuất 5),"1. Jeanne Hotel – 8.0/10, trung tâm, 400k. 2. Dương Hà – 7.9/10, 350k. 3. Sài Gòn Bản Giốc – 8.2/10, view thác, 450k. 4. Max Boutique Hotel – 8.5/10, hiện đại, 600k. 5. Homestay Pác Bó – 8.0/10, gần di tích, 300k."
Cao Bằng,Cao Bằng,Di chuyển đến nơi,"HN → CB: xe khách (8h, 350k-400k). Xe máy (2 ngày)."
Cao Bằng,Cao Bằng,Giao thông nội bộ,"Xe máy: 200k-250k/ngày."
